Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist,Unnamed: 13,estadio,Latitud,Longitud
04/05/2025 00:00,LaLiga,34,05/01/2005 00:00,H,FC Barcelona,Albacete Balompie,02:00:00,CF,90+1,02:00:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,UEFA Champions League,Group Stage,11/02/2005 00:00,H,FC Barcelona,Panathinaikos Athens,05:00:00,RW,34,03:00:00,Left-footed shot,,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,LaLiga,13,11/27/05,H,FC Barcelona,Racing Santander,04:01:00,RW,51,02:00:00,Left-footed shot,Samuel Etoo,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,LaLiga,19,1/15/06,H,FC Barcelona,Athletic Bilbao,02:01:00,RW,50,02:01:00,Left-footed shot,Mark van Bommel,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,LaLiga,20,1/22/06,H,FC Barcelona,Deportivo Alaves,02:00:00,CF,82,02:00:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,00:03:00,CF,75,00:02:00,Right-footed shot,Sylvinho,,RCD Mallorca,39.5698469,2.6494492
05/06/2025 00:00,LaLiga,21,1/29/06,A,FC Barcelona,RCD Mallorca,00:03:00,CF,83,00:03:00,Left-footed shot,Ronaldinho Gaacho,,RCD Mallorca,39.5698469,2.6494492
05/06/2025 00:00,Copa del Rey,Quarter-Finals,02/01/2006 00:00,H,FC Barcelona,Real Zaragoza,02:01:00,CF,42,01:00:00,Header,Ludovic Giuly,,FC Barcelona,41.380898,2.12282
05/06/2025 00:00,LaLiga,24,2/18/06,H,FC Barcelona,Real Betis Balompie,05:01:00,RW,84,05:01:00,Left-footed shot,,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,1,8/28/06,A,FC Barcelona,Celta de Vigo,02:03:00,LW,59,01:02:00,Left-footed shot,Andres Iniesta,,Celta de Vigo,42.2127744,-8.7372567
06/07/2025 00:00,LaLiga,2,09/09/2006 00:00,H,FC Barcelona,CA Osasuna,03:00:00,RW,36,03:00:00,Left-footed shot,Samuel Etoo,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,UEFA Champions League,Group Stage,9/27/06,A,FC Barcelona,SV Werder Bremen,01:01:00,RW,89,01:01:00,Left-footed shot,Deco,,SV Werder Bremen,53.06704,8.83878
06/07/2025 00:00,LaLiga,6,10/15/06,H,FC Barcelona,Sevilla FC,03:01:00,RW,80,03:01:00,Right-footed shot,Xavi,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,26,03/10/2007 00:00,H,FC Barcelona,Real Madrid,03:03:00,RW,11,01:01:00,Left-footed shot,Samuel Etoo,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,26,03/10/2007 00:00,H,FC Barcelona,Real Madrid,03:03:00,RW,28,02:02:00,Left-footed shot,,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,26,03/10/2007 00:00,H,FC Barcelona,Real Madrid,03:03:00,RW,90+1,03:03:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,27,3/17/07,A,FC Barcelona,Recreativo Huelva,00:04:00,RW,86,00:04:00,Left-footed shot,,,Recreativo Huelva,37.3088792,-6.8808459
06/07/2025 00:00,LaLiga,28,3/31/07,H,FC Barcelona,Deportivo de La Coruaa,02:01:00,RW,45,01:00:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,05:02:00,RW,29,02:00:00,Solo run,Xavi,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,Copa del Rey,Semi-Finals,4/18/07,H,FC Barcelona,Getafe CF,05:02:00,RW,45,03:00:00,Left-footed shot,Deco,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,00:06:00,RW,39,00:01:00,Left-footed shot,Samuel Etoo,,Atletico de Madrid,40.4925732,-3.899587
06/07/2025 00:00,LaLiga,35,5/20/07,A,FC Barcelona,Atletico de Madrid,00:06:00,RW,80,00:05:00,Left-footed shot,Giovanni van Bronckhorst,,Atletico de Madrid,40.4925732,-3.899587
06/07/2025 00:00,LaLiga,37,06/09/2007 00:00,H,FC Barcelona,RCD Espanyol Barcelona,02:02:00,RW,43,01:01:00,,Gianluca Zambrotta,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,37,06/09/2007 00:00,H,FC Barcelona,RCD Espanyol Barcelona,02:02:00,RW,57,02:01:00,Right-footed shot,Deco,,FC Barcelona,41.380898,2.12282
06/07/2025 00:00,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,01:05:00,RW,34,00:02:00,Left-footed shot,Deco,,Gimnastic de Tarragona,41.1238461,1.2002027
06/07/2025 00:00,LaLiga,38,6/17/07,A,FC Barcelona,Gimnastic de Tarragona,01:05:00,RW,51,00:04:00,Left-footed shot,Deco,,Gimnastic de Tarragona,41.1238461,1.2002027
07/08/2025 00:00,UEFA Champions League,Group Stage,9/19/07,H,FC Barcelona,Olympique Lyon,03:00:00,RW,82,02:00:00,Left-footed shot,Andres Iniesta,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,4,9/22/07,H,FC Barcelona,Sevilla FC,02:01:00,RW,72,01:00:00,Left-footed shot,Thierry Henry,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,4,9/22/07,H,FC Barcelona,Sevilla FC,02:01:00,RW,79,02:00:00,Penalty,,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,5,9/26/07,H,FC Barcelona,Real Zaragoza,04:01:00,RW,5,01:00:00,Left-footed shot,Thierry Henry,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,5,9/26/07,H,FC Barcelona,Real Zaragoza,04:01:00,RW,10,02:01:00,Left-footed shot,Deco,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,6,9/29/07,A,FC Barcelona,Levante UD,01:04:00,RW,50,00:04:00,Left-footed shot,Deco,,Levante UD,39.4703751,-0.370525
07/08/2025 00:00,UEFA Champions League,Group Stage,10/02/2007 00:00,A,FC Barcelona,VfB Stuttgart,00:02:00,RW,66,00:02:00,Deflected shot on goal,Thierry Henry,,VfB Stuttgart,48.79225,9.23209
07/08/2025 00:00,LaLiga,7,10/07/2007 00:00,H,FC Barcelona,Atletico de Madrid,03:00:00,RW,19,02:00:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,9,10/28/07,H,FC Barcelona,UD Almera,02:00:00,RW,80,02:00:00,Penalty,,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,UEFA Champions League,Group Stage,11/07/2007 00:00,H,FC Barcelona,Rangers FC,02:00:00,RW,41,02:00:00,Left-footed shot,Ronaldinho Gaacho,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,13,11/24/07,H,FC Barcelona,Recreativo Huelva,03:00:00,RW,81,03:00:00,Penalty,,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,UEFA Champions League,Group Stage,11/27/07,A,FC Barcelona,Olympique Lyon,02:02:00,RW,58,01:02:00,Penalty,,,Olympique Lyon,?45.765224,4.982131
07/08/2025 00:00,UEFA Champions League,last 16,2/20/08,A,FC Barcelona,Celtic FC,02:03:00,RW,18,01:01:00,Left-footed shot,Deco,,Celtic FC,55.85,-4.206
07/08/2025 00:00,UEFA Champions League,last 16,2/20/08,A,FC Barcelona,Celtic FC,02:03:00,RW,79,02:03:00,Left-footed shot,,,Celtic FC,55.85,-4.206
07/08/2025 00:00,LaLiga,25,2/24/08,H,FC Barcelona,Levante UD,05:01:00,RW,44,02:01:00,Left-footed shot,Xavi,,FC Barcelona,41.380898,2.12282
07/08/2025 00:00,LaLiga,35,05/04/2008 00:00,H,FC Barcelona,Valencia CF,06:00:00,RW,5,01:00:00,Penalty,,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,LaLiga,2,9/13/08,H,FC Barcelona,Racing Santander,01:01:00,RW,70,01:00:00,Penalty,,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,LaLiga,3,9/21/08,A,FC Barcelona,Sporting GijÃƒÂ³n,01:06:00,RW,85,01:05:00,Left-footed shot,Andres Iniesta,,Sporting GijÃƒÂ³n,43.536111,-5.637222
08/09/2025 00:00,LaLiga,3,9/21/08,A,FC Barcelona,Sporting GijÃƒÂ³n,01:06:00,RW,89,01:06:00,Header,Xavi,,Sporting GijÃƒÂ³n,43.536111,-5.637222
08/09/2025 00:00,LaLiga,5,9/27/08,A,FC Barcelona,RCD Espanyol Barcelona,01:02:00,RW,90,01:02:00,Penalty,,,RCD Espanyol Barcelona,41.4260382,2.2119056
08/09/2025 00:00,UEFA Champions League,Group Stage,10/01/2008 00:00,A,FC Barcelona,Shakhtar Donetsk,01:02:00,RW,87,01:01:00,Right-footed shot,Bojan Krkic,,Shakhtar Donetsk,48.023,37.80224
08/09/2025 00:00,UEFA Champions League,Group Stage,10/01/2008 00:00,A,FC Barcelona,Shakhtar Donetsk,01:02:00,RW,90+2,01:02:00,Left-footed shot,Xavi,,Shakhtar Donetsk,48.023,37.80224
08/09/2025 00:00,LaLiga,6,10/04/2008 00:00,H,FC Barcelona,Atletico de Madrid,06:01:00,RW,8,03:00:00,Direct free kick,,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,UEFA Champions League,Group Stage,10/22/08,A,FC Barcelona,FC Basel 1893,00:05:00,CF,4,00:01:00,Left-footed shot,Dani Alves,,FC Basel 1893,47.5416464,7.620125
08/09/2025 00:00,LaLiga,9,11/01/2008 00:00,A,FC Barcelona,Malaga CF,01:04:00,RW,19,01:02:00,Left-footed shot,,,Malaga CF,36.734167,-4.426389
08/09/2025 00:00,UEFA Champions League,Group Stage,11/04/2008 00:00,H,FC Barcelona,FC Basel 1893,01:01:00,RW,61,01:00:00,Left-footed shot,Thierry Henry,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,Copa del Rey,Fifth Round,11/12/2008 00:00,H,FC Barcelona,Benidorm CD,01:00:00,RW,86,01:00:00,Penalty rebound,,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,LaLiga,11,11/16/08,A,FC Barcelona,Recreativo Huelva,00:02:00,RW,51,00:01:00,Left-footed shot,Xavi,,Recreativo Huelva,37.3088792,-6.8808459
08/09/2025 00:00,UEFA Champions League,Group Stage,11/26/08,A,FC Barcelona,Sporting CP,02:05:00,RW,49,00:03:00,Left-footed shot,Dani Alves,,Sporting CP,38.7611,-9.1607
08/09/2025 00:00,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,00:03:00,RW,78,00:02:00,Left-footed shot,Xavi,,Sevilla FC,37.3886303,-5.9953403
08/09/2025 00:00,LaLiga,13,11/29/08,A,FC Barcelona,Sevilla FC,00:03:00,RW,90+2,00:03:00,Left-footed shot,Aleksandr Hleb,,Sevilla FC,37.3886303,-5.9953403
08/09/2025 00:00,LaLiga,15,12/13/08,H,FC Barcelona,Real Madrid,02:00:00,RW,89,02:00:00,Counter attack goal,Thierry Henry,,FC Barcelona,41.380898,2.12282
08/09/2025 00:00,Copa del Rey,Round of 16,01/06/2009 00:00,A,FC Barcelona,Atletico de Madrid,01:03:00,RW,11,00:01:00,Left-footed shot,Dani Alves,,Atletico de Madrid,40.4925732,-3.899587
08/09/2025 00:00,Copa del Rey,Round of 16,01/06/2009 00:00,A,FC Barcelona,Atletico de Madrid,01:03:00,RW,57,00:02:00,Penalty,,,Atletico de Madrid,40.4925732,-3.899587
08/09/2025 00:00,Copa del Rey,Round of 16,01/06/2009 00:00,A,FC Barcelona,Atletico de Madrid,01:03:00,RW,79,01:03:00,Right-footed shot,Andres Iniesta,,Atletico de Madrid,40.4925732,-3.899587
